CDC 2000 growth charts,Length (cm),,,,,,"Height (HT, cm)",,,,,,"Weight (WT, kg)",,,,,,"Body Mass Index (BMI, kg/m2)",,,,,,"Head Circumference (HC, cm)",,,,,
8.79,,,,,,,0.40,132.4,0.046,0.04,131.9,0.047,-1.36,27.9,0.164,-1.01,28.2,0.182,-3.03,16.1,0.109,-2.42,16.2,0.125,,,,,,
8.88,,,,,,,0.41,132.8,0.046,0.06,132.3,0.047,-1.35,28.2,0.165,-1.00,28.5,0.183,-3.01,16.1,0.110,-2.40,16.2,0.126,,,,,,
8.96,,,,,,,0.41,133.3,0.046,0.07,132.7,0.047,-1.35,28.4,0.166,-0.98,28.8,0.184,-2.99,16.1,0.111,-2.38,16.3,0.127,,,,,,
9.04,,,,,,,0.42,133.7,0.046,0.08,133.1,0.047,-1.34,28.7,0.167,-0.97,29.1,0.185,-2.97,16.2,0.112,-2.36,16.3,0.128,,,,,,
9.13,,,,,,,0.42,134.2,0.046,0.10,133.5,0.047,-1.33,28.9,0.168,-0.96,29.4,0.186,-2.95,16.2,0.112,-2.34,16.3,0.129,,,,,,
9.21,,,,,,,0.43,134.6,0.046,0.11,134.0,0.047,-1.32,29.2,0.169,-0.95,29.8,0.187,-2.94,16.2,0.113,-2.32,16.4,0.130,,,,,,
9.29,,,,,,,0.44,135.1,0.047,0.13,134.4,0.047,-1.32,29.5,0.170,-0.94,30.1,0.188,-2.92,16.3,0.114,-2.31,16.4,0.130,,,,,,
9.38,,,,,,,0.44,135.5,0.047,0.14,134.8,0.047,-1.31,29.8,0.171,-0.92,30.4,0.189,-2.90,16.3,0.115,-2.29,16.5,0.131,,,,,,
9.46,,,,,,,0.45,135.9,0.047,0.15,135.2,0.048,-1.30,30.0,0.172,-0.91,30.7,0.190,-2.88,16.4,0.115,-2.27,16.5,0.132,,,,,,
9.54,,,,,,,0.46,136.3,0.047,0.17,135.6,0.048,-1.28,30.3,0.173,-0.90,31.0,0.191,-2.87,16.4,0.116,-2.26,16.6,0.133,,,,,,
9.63,,,,,,,0.47,136.8,0.047,0.19,136.1,0.048,-1.27,30.6,0.174,-0.89,31.4,0.192,-2.85,16.4,0.117,-2.24,16.6,0.134,,,,,,
9.71,,,,,,,0.48,137.2,0.047,0.20,136.5,0.048,-1.26,30.9,0.175,-0.88,31.7,0.193,-2.83,16.5,0.117,-2.23,16.7,0.134,,,,,,
9.79,,,,,,,0.49,137.6,0.047,0.22,136.9,0.048,-1.25,31.2,0.176,-0.87,32.0,0.194,-2.81,16.5,0.118,-2.21,16.7,0.135,,,,,,
9.88,,,,,,,0.49,138.0,0.047,0.24,137.3,0.048,-1.23,31.5,0.177,-0.86,32.4,0.194,-2.80,16.6,0.119,-2.20,16.8,0.136,,,,,,
9.96,,,,,,,0.50,138.4,0.047,0.26,137.8,0.049,-1.22,31.8,0.178,-0.86,32.7,0.195,-2.78,16.6,0.119,-2.18,16.8,0.136,,,,,,
10.04,,,,,,,0.51,138.8,0.048,0.28,138.2,0.049,-1.21,32.1,0.179,-0.85,33.1,0.196,-2.77,16.6,0.120,-2.17,16.9,0.137,,,,,,
10.13,,,,,,,0.51,139.2,0.048,0.31,138.7,0.049,-1.19,32.4,0.180,-0.84,33.4,0.197,-2.75,16.7,0.121,-2.16,16.9,0.138,,,,,,
10.21,,,,,,,0.51,139.6,0.048,0.34,139.1,0.049,-1.18,32.7,0.181,-0.83,33.8,0.197,-2.73,16.7,0.121,-2.15,17.0,0.138,,,,,,
10.29,,,,,,,0.52,140.0,0.048,0.37,139.6,0.049,-1.16,33.0,0.182,-0.83,34.1,0.198,-2.72,16.8,0.122,-2.13,17.0,0.139,,,,,,
10.38,,,,,,,0.52,140.4,0.048,0.40,140.1,0.049,-1.15,33.3,0.183,-0.82,34.5,0.199,-2.70,16.8,0.123,-2.12,17.1,0.140,,,,,,
10.46,,,,,,,0.52,140.9,0.048,0.43,140.5,0.050,-1.13,33.7,0.184,-0.81,34.8,0.199,-2.69,16.9,0.123,-2.11,17.1,0.140,,,,,,
10.54,,,,,,,0.52,141.3,0.048,0.47,141.0,0.050,-1.12,34.0,0.185,-0.81,35.2,0.200,-2.67,16.9,0.124,-2.10,17.2,0.141,,,,,,
10.63,,,,,,,0.52,141.7,0.048,0.51,141.5,0.050,-1.10,34.3,0.186,-0.80,35.6,0.200,-2.66,17.0,0.124,-2.09,17.2,0.141,,,,,,
10.71,,,,,,,0.51,142.1,0.049,0.55,142.1,0.050,-1.08,34.7,0.187,-0.80,35.9,0.201,-2.65,17.0,0.125,-2.08,17.3,0.142,,,,,,
10.79,,,,,,,0.51,142.5,0.049,0.60,142.6,0.050,-1.07,35.0,0.188,-0.80,36.3,0.201,-2.63,17.1,0.125,-2.07,17.3,0.142,,,,,,
10.88,,,,,,,0.50,142.9,0.049,0.64,143.1,0.050,-1.05,35.4,0.188,-0.79,36.7,0.201,-2.62,17.1,0.126,-2.06,17.4,0.143,,,,,,
10.96,,,,,,,0.50,143.3,0.049,0.69,143.7,0.050,-1.04,35.7,0.189,-0.79,37.0,0.202,-2.60,17.2,0.126,-2.05,17.4,0.143,,,,,,
11.04,,,,,,,0.49,143.7,0.049,0.74,144.3,0.051,-1.02,36.1,0.190,-0.79,37.4,0.202,-2.59,17.2,0.127,-2.05,17.5,0.144,,,,,,
11.13,,,,,,,0.48,144.2,0.049,0.80,144.8,0.051,-1.00,36.4,0.191,-0.79,37.8,0.202,-2.58,17.3,0.127,-2.04,17.5,0.144,,,,,,
11.21,,,,,,,0.47,144.6,0.049,0.85,145.4,0.051,-0.99,36.8,0.192,-0.78,38.1,0.202,-2.56,17.3,0.128,-2.03,17.6,0.145,,,,,,
11.29,,,,,,,0.46,145.0,0.049,0.90,146.0,0.051,-0.97,37.2,0.192,-0.78,38.5,0.203,-2.55,17.3,0.128,-2.02,17.6,0.145,,,,,,
11.38,,,,,,,0.45,145.5,0.049,0.96,146.6,0.050,-0.96,37.5,0.193,-0.78,38.9,0.203,-2.54,17.4,0.129,-2.02,17.7,0.146,,,,,,
11.46,,,,,,,0.44,145.9,0.049,1.01,147.2,0.050,-0.94,37.9,0.193,-0.79,39.2,0.203,-2.53,17.5,0.129,-2.01,17.7,0.146,,,,,,
11.54,,,,,,,0.43,146.4,0.049,1.06,147.8,0.050,-0.92,38.3,0.194,-0.79,39.6,0.203,-2.52,17.5,0.129,-2.00,17.8,0.146,,,,,,
11.63,,,,,,,0.43,146.8,0.050,1.11,148.5,0.050,-0.91,38.7,0.195,-0.79,40.0,0.203,-2.50,17.6,0.130,-2.00,17.8,0.147,,,,,,
11.71,,,,,,,0.42,147.3,0.050,1.16,149.1,0.050,-0.89,39.1,0.195,-0.79,40.4,0.203,-2.49,17.6,0.130,-1.99,17.9,0.147,,,,,,
11.79,,,,,,,0.42,147.8,0.050,1.20,149.7,0.050,-0.88,39.5,0.196,-0.79,40.7,0.203,-2.48,17.7,0.130,-1.99,17.9,0.147,,,,,,
11.88,,,,,,,0.42,148.3,0.050,1.24,150.3,0.049,-0.87,39.9,0.196,-0.80,41.1,0.203,-2.47,17.7,0.131,-1.98,18.0,0.148,,,,,,
11.96,,,,,,,0.42,148.8,0.050,1.27,150.9,0.049,-0.85,40.3,0.196,-0.80,41.5,0.202,-2.46,17.8,0.131,-1.98,18.0,0.148,,,,,,
12.04,,,,,,,0.42,149.3,0.050,1.30,151.5,0.049,-0.84,40.7,0.197,-0.81,41.8,0.202,-2.45,17.8,0.131,-1.98,18.1,0.148,,,,,,
12.13,,,,,,,0.43,149.8,0.050,1.33,152.1,0.048,-0.82,41.1,0.197,-0.81,42.2,0.202,-2.44,17.9,0.132,-1.97,18.2,0.149,,,,,,
12.21,,,,,,,0.44,150.4,0.050,1.34,152.6,0.048,-0.81,41.5,0.197,-0.82,42.6,0.202,-2.43,17.9,0.132,-1.97,18.2,0.149,,,,,,
12.29,,,,,,,0.46,150.9,0.050,1.36,153.2,0.047,-0.80,41.9,0.197,-0.83,42.9,0.202,-2.42,18.0,0.132,-1.97,18.3,0.149,,,,,,
12.38,,,,,,,0.48,151.5,0.050,1.36,153.7,0.047,-0.78,42.3,0.197,-0.83,43.3,0.201,-2.41,18.0,0.133,-1.96,18.3,0.149,,,,,,
12.46,,,,,,,0.50,152.1,0.050,1.36,154.3,0.047,-0.77,42.8,0.197,-0.84,43.6,0.201,-2.40,18.1,0.133,-1.96,18.4,0.150,,,,,,
12.54,,,,,,,0.53,152.7,0.050,1.36,154.8,0.046,-0.76,43.2,0.197,-0.85,44.0,0.200,-2.39,18.1,0.133,-1.96,18.4,0.150,,,,,,
12.63,,,,,,,0.57,153.3,0.050,1.35,155.2,0.046,-0.75,43.6,0.197,-0.86,44.3,0.200,-2.38,18.2,0.133,-1.96,18.5,0.150,,,,,,
12.71,,,,,,,0.61,153.9,0.050,1.33,155.7,0.045,-0.74,44.1,0.197,-0.87,44.7,0.200,-2.37,18.2,0.133,-1.96,18.5,0.150,,,,,,
12.79,,,,,,,0.65,154.5,0.050,1.32,156.1,0.045,-0.73,44.5,0.197,-0.88,45.0,0.199,-2.36,18.3,0.134,-1.96,18.6,0.150,,,,,,
12.88,,,,,,,0.70,155.1,0.050,1.29,156.6,0.045,-0.72,44.9,0.197,-0.89,45.3,0.199,-2.35,18.4,0.134,-1.96,18.6,0.150,,,,,,
12.96,,,,,,,0.76,155.8,0.050,1.27,157.0,0.044,-0.71,45.4,0.197,-0.90,45.7,0.198,-2.34,18.4,0.134,-1.95,18.7,0.151,,,,,,
13.04,,,,,,,0.82,156.4,0.050,1.24,157.3,0.044,-0.70,45.8,0.197,-0.92,46.0,0.197,-2.33,18.5,0.134,-1.95,18.7,0.151,,,,,,
13.13,,,,,,,0.88,157.1,0.050,1.22,157.7,0.044,-0.69,46.3,0.196,-0.93,46.3,0.197,-2.32,18.5,0.134,-1.96,18.8,0.151,,,,,,
13.21,,,,,,,0.95,157.7,0.050,1.19,158.0,0.043,-0.68,46.7,0.196,-0.94,46.6,0.196,-2.31,18.6,0.134,-1.96,18.8,0.151,,,,,,
13.29,,,,,,,1.01,158.4,0.050,1.16,158.4,0.043,-0.67,47.2,0.196,-0.96,46.9,0.195,-2.30,18.6,0.135,-1.96,18.9,0.151,,,,,,
13.38,,,,,,,1.09,159.0,0.050,1.13,158.7,0.043,-0.67,47.6,0.195,-0.97,47.2,0.195,-2.29,18.7,0.135,-1.96,18.9,0.151,,,,,,
13.46,,,,,,,1.16,159.7,0.050,1.10,158.9,0.042,-0.66,48.1,0.195,-0.99,47.5,0.194,-2.29,18.8,0.135,-1.96,19.0,0.151,,,,,,
13.54,,,,,,,1.23,160.3,0.050,1.08,159.2,0.042,-0.65,48.5,0.194,-1.00,47.8,0.193,-2.28,18.8,0.135,-1.96,19.0,0.151,,,,,,
13.63,,,,,,,1.31,161.0,0.050,1.05,159.5,0.042,-0.65,49.0,0.194,-1.02,48.1,0.193,-2.27,18.9,0.135,-1.96,19.1,0.151,,,,,,
13.71,,,,,,,1.38,161.6,0.050,1.03,159.7,0.042,-0.64,49.4,0.193,-1.04,48.4,0.192,-2.26,18.9,0.135,-1.97,19.2,0.151,,,,,,
13.79,,,,,,,1.46,162.3,0.050,1.01,159.9,0.041,-0.64,49.9,0.193,-1.05,48.7,0.191,-2.25,19.0,0.135,-1.97,19.2,0.151,,,,,,
13.88,,,,,,,1.53,162.9,0.049,0.99,160.1,0.041,-0.64,50.3,0.192,-1.07,49.0,0.190,-2.24,19.0,0.135,-1.97,19.3,0.151,,,,,,
13.96,,,,,,,1.60,163.5,0.049,0.97,160.3,0.041,-0.63,50.8,0.191,-1.09,49.2,0.189,-2.24,19.1,0.135,-1.97,19.3,0.151,,,,,,
14.04,,,,,,,1.67,164.1,0.049,0.96,160.5,0.041,-0.63,51.2,0.191,-1.11,49.5,0.189,-2.23,19.2,0.135,-1.98,19.4,0.151,,,,,,
14.13,,,,,,,1.74,164.7,0.049,0.94,160.6,0.041,-0.63,51.7,0.190,-1.13,49.7,0.188,-2.22,19.2,0.135,-1.98,19.4,0.151,,,,,,
14.21,,,,,,,1.80,165.3,0.049,0.93,160.8,0.041,-0.63,52.1,0.189,-1.15,50.0,0.187,-2.21,19.3,0.135,-1.98,19.5,0.151,,,,,,
14.29,,,,,,,1.86,165.9,0.048,0.92,160.9,0.041,-0.63,52.6,0.189,-1.17,50.2,0.186,-2.20,19.3,0.135,-1.99,19.5,0.151,,,,,,
14.38,,,,,,,1.92,166.4,0.048,0.91,161.1,0.041,-0.63,53.0,0.188,-1.19,50.5,0.185,-2.20,19.4,0.135,-1.99,19.6,0.151,,,,,,
14.46,,,,,,,1.97,167.0,0.048,0.91,161.2,0.040,-0.63,53.5,0.187,-1.22,50.7,0.184,-2.19,19.4,0.135,-2.00,19.6,0.151,,,,,,
14.54,,,,,,,2.02,167.5,0.048,0.90,161.3,0.040,-0.63,53.9,0.186,-1.24,50.9,0.183,-2.18,19.5,0.135,-2.00,19.6,0.151,,,,,,
14.63,,,,,,,2.06,168.0,0.047,0.90,161.4,0.040,-0.64,54.4,0.186,-1.26,51.1,0.182,-2.17,19.6,0.135,-2.01,19.7,0.151,,,,,,
14.71,,,,,,,2.10,168.4,0.047,0.90,161.5,0.040,-0.64,54.8,0.185,-1.28,51.4,0.182,-2.16,19.6,0.135,-2.01,19.7,0.151,,,,,,
14.79,,,,,,,2.13,168.9,0.047,0.89,161.6,0.040,-0.65,55.2,0.184,-1.31,51.6,0.181,-2.16,19.7,0.135,-2.02,19.8,0.151,,,,,,
14.88,,,,,,,2.16,169.3,0.046,0.89,161.7,0.040,-0.65,55.6,0.183,-1.33,51.8,0.180,-2.15,19.7,0.135,-2.02,19.8,0.151,,,,,,
14.96,,,,,,,2.19,169.7,0.046,0.89,161.8,0.040,-0.66,56.1,0.182,-1.35,51.9,0.179,-2.14,19.8,0.135,-2.03,19.9,0.151,,,,,,
15.04,,,,,,,2.21,170.1,0.046,0.90,161.9,0.040,-0.67,56.5,0.182,-1.38,52.1,0.178,-2.13,19.9,0.135,-2.03,19.9,0.151,,,,,,
15.13,,,,,,,2.22,170.5,0.046,0.90,162.0,0.040,-0.67,56.9,0.181,-1.40,52.3,0.177,-2.12,19.9,0.135,-2.04,20.0,0.150,,,,,,
15.21,,,,,,,2.23,170.9,0.045,0.90,162.0,0.040,-0.68,57.3,0.180,-1.42,52.5,0.176,-2.12,20.0,0.135,-2.05,20.0,0.150,,,,,,
15.29,,,,,,,2.23,171.2,0.045,0.90,162.1,0.040,-0.69,57.7,0.179,-1.45,52.7,0.175,-2.11,20.0,0.135,-2.05,20.1,0.150,,,,,,
15.38,,,,,,,2.24,171.6,0.045,0.91,162.2,0.040,-0.70,58.1,0.178,-1.47,52.8,0.174,-2.10,20.1,0.135,-2.06,20.1,0.150,,,,,,
15.46,,,,,,,2.23,171.9,0.045,0.91,162.2,0.040,-0.71,58.5,0.178,-1.49,53.0,0.174,-2.09,20.2,0.135,-2.07,20.2,0.150,,,,,,
15.54,,,,,,,2.23,172.2,0.044,0.91,162.3,0.040,-0.72,58.9,0.177,-1.52,53.1,0.173,-2.09,20.2,0.135,-2.07,20.2,0.150,,,,,,
15.63,,,,,,,2.21,172.4,0.044,0.92,162.3,0.040,-0.74,59.3,0.176,-1.54,53.3,0.172,-2.08,20.3,0.135,-2.08,20.2,0.150,,,,,,
15.71,,,,,,,2.20,172.7,0.044,0.92,162.4,0.040,-0.75,59.7,0.175,-1.56,53.4,0.171,-2.07,20.3,0.135,-2.09,20.3,0.150,,,,,,
15.79,,,,,,,2.18,172.9,0.044,0.93,162.4,0.040,-0.76,60.0,0.175,-1.59,53.6,0.170,-2.06,20.4,0.134,-2.10,20.3,0.149,,,,,,
15.88,,,,,,,2.16,173.2,0.043,0.93,162.5,0.040,-0.77,60.4,0.174,-1.61,53.7,0.170,-2.05,20.4,0.134,-2.10,20.4,0.149,,,,,,
15.96,,,,,,,2.14,173.4,0.043,0.94,162.5,0.040,-0.79,60.7,0.173,-1.63,53.8,0.169,-2.05,20.5,0.134,-2.11,20.4,0.149,,,,,,
16.04,,,,,,,2.11,173.6,0.043,0.94,162.6,0.040,-0.80,61.1,0.172,-1.65,53.9,0.168,-2.04,20.6,0.134,-2.12,20.5,0.149,,,,,,
16.13,,,,,,,2.09,173.8,0.043,0.95,162.6,0.040,-0.82,61.4,0.172,-1.67,54.1,0.167,-2.03,20.6,0.134,-2.13,20.5,0.149,,,,,,
16.21,,,,,,,2.06,174.0,0.043,0.95,162.6,0.040,-0.83,61.8,0.171,-1.69,54.2,0.167,-2.02,20.7,0.134,-2.13,20.5,0.149,,,,,,
16.29,,,,,,,2.03,174.2,0.043,0.96,162.7,0.040,-0.85,62.1,0.170,-1.71,54.3,0.166,-2.02,20.7,0.134,-2.14,20.6,0.149,,,,,,
16.38,,,,,,,1.99,174.3,0.042,0.96,162.7,0.040,-0.86,62.4,0.170,-1.73,54.4,0.166,-2.01,20.8,0.134,-2.15,20.6,0.149,,,,,,
16.46,,,,,,,1.96,174.5,0.042,0.97,162.7,0.040,-0.88,62.7,0.169,-1.75,54.5,0.165,-2.00,20.8,0.134,-2.16,20.7,0.148,,,,,,
16.54,,,,,,,1.93,174.6,0.042,0.97,162.8,0.040,-0.89,63.0,0.169,-1.76,54.6,0.164,-1.99,20.9,0.134,-2.17,20.7,0.148,,,,,,
16.63,,,,,,,1.89,174.8,0.042,0.98,162.8,0.040,-0.91,63.3,0.168,-1.78,54.7,0.164,-1.99,21.0,0.134,-2.18,20.7,0.148,,,,,,
16.71,,,,,,,1.86,174.9,0.042,0.98,162.8,0.040,-0.92,63.6,0.168,-1.79,54.8,0.163,-1.98,21.0,0.133,-2.18,20.8,0.148,,,,,,
16.79,,,,,,,1.83,175.0,0.042,0.99,162.9,0.040,-0.93,63.9,0.167,-1.81,54.9,0.163,-1.97,21.1,0.133,-2.19,20.8,0.148,,,,,,
16.88,,,,,,,1.79,175.1,0.042,0.99,162.9,0.040,-0.95,64.2,0.167,-1.82,55.0,0.162,-1.96,21.1,0.133,-2.20,20.8,0.148,,,,,,
16.96,,,,,,,1.76,175.2,0.042,0.99,162.9,0.040,-0.96,64.4,0.166,-1.83,55.1,0.162,-1.96,21.2,0.133,-2.21,20.9,0.148,,,,,,
17.04,,,,,,,1.72,175.3,0.041,1.00,162.9,0.040,-0.97,64.7,0.166,-1.84,55.2,0.162,-1.95,21.2,0.133,-2.22,20.9,0.148,,,,,,
17.13,,,,,,,1.69,175.4,0.041,1.00,162.9,0.040,-0.99,65.0,0.165,-1.85,55.3,0.161,-1.94,21.3,0.133,-2.22,20.9,0.148,,,,,,
17.21,,,,,,,1.66,175.5,0.041,1.01,163.0,0.040,-1.00,65.2,0.165,-1.85,55.4,0.161,-1.94,21.4,0.133,-2.23,21.0,0.148,,,,,,
17.29,,,,,,,1.63,175.6,0.041,1.01,163.0,0.040,-1.01,65.4,0.164,-1.86,55.4,0.161,-1.93,21.4,0.133,-2.24,21.0,0.147,,,,,,
17.38,,,,,,,1.60,175.7,0.041,1.02,163.0,0.040,-1.02,65.7,0.164,-1.86,55.5,0.161,-1.92,21.5,0.133,-2.25,21.0,0.147,,,,,,
17.46,,,,,,,1.57,175.8,0.041,1.02,163.0,0.040,-1.03,65.9,0.164,-1.87,55.6,0.161,-1.92,21.5,0.133,-2.25,21.1,0.147,,,,,,
17.54,,,,,,,1.54,175.8,0.041,1.03,163.0,0.040,-1.04,66.1,0.163,-1.87,55.7,0.160,-1.91,21.6,0.133,-2.26,21.1,0.147,,,,,,
17.63,,,,,,,1.52,175.9,0.041,1.03,163.1,0.040,-1.04,66.3,0.163,-1.87,55.8,0.160,-1.90,21.6,0.133,-2.27,21.1,0.147,,,,,,
17.71,,,,,,,1.49,176.0,0.041,1.03,163.1,0.040,-1.05,66.5,0.163,-1.87,55.9,0.160,-1.90,21.7,0.132,-2.28,21.2,0.147,,,,,,
17.79,,,,,,,1.47,176.0,0.041,1.04,163.1,0.040,-1.06,66.7,0.163,-1.87,56.0,0.160,-1.89,21.7,0.132,-2.28,21.2,0.147,,,,,,
17.88,,,,,,,1.44,176.1,0.041,1.04,163.1,0.040,-1.06,66.9,0.162,-1.86,56.1,0.160,-1.89,21.8,0.132,-2.29,21.2,0.147,,,,,,
17.96,,,,,,,1.42,176.1,0.041,1.04,163.1,0.040,-1.06,67.1,0.162,-1.86,56.1,0.160,-1.88,21.8,0.132,-2.30,21.2,0.147,,,,,,
18.04,,,,,,,1.40,176.2,0.041,1.05,163.1,0.040,-1.07,67.3,0.162,-1.85,56.2,0.160,-1.87,21.9,0.132,-2.30,21.3,0.147,,,,,,
18.13,,,,,,,1.38,176.2,0.041,1.05,163.1,0.040,-1.07,67.5,0.162,-1.84,56.3,0.160,-1.87,21.9,0.132,-2.31,21.3,0.147,,,,,,
18.21,,,,,,,1.36,176.3,0.041,1.05,163.2,0.040,-1.07,67.6,0.162,-1.83,56.4,0.161,-1.87,22.0,0.132,-2.32,21.3,0.147,,,,,,
18.29,,,,,,,1.34,176.3,0.041,1.06,163.2,0.040,-1.07,67.8,0.161,-1.82,56.5,0.161,-1.86,22.1,0.132,-2.32,21.4,0.147,,,,,,
18.38,,,,,,,1.33,176.4,0.041,1.06,163.2,0.040,-1.07,68.0,0.161,-1.81,56.6,0.161,-1.86,22.1,0.132,-2.33,21.4,0.147,,,,,,
18.46,,,,,,,1.31,176.4,0.040,1.06,163.2,0.040,-1.06,68.1,0.161,-1.80,56.7,0.161,-1.85,22.2,0.132,-2.33,21.4,0.148,,,,,,
18.54,,,,,,,1.30,176.4,0.040,1.07,163.2,0.040,-1.06,68.3,0.161,-1.79,56.8,0.161,-1.85,22.2,0.132,-2.34,21.4,0.148,,,,,,
18.63,,,,,,,1.28,176.5,0.040,1.07,163.2,0.040,-1.06,68.5,0.161,-1.77,56.9,0.162,-1.85,22.3,0.132,-2.34,21.4,0.148,,,,,,
18.71,,,,,,,1.27,176.5,0.040,1.07,163.2,0.040,-1.05,68.6,0.161,-1.76,57.0,0.162,-1.84,22.3,0.132,-2.34,21.5,0.148,,,,,,
18.79,,,,,,,1.26,176.5,0.040,1.08,163.2,0.040,-1.05,68.8,0.160,-1.74,57.1,0.162,-1.84,22.4,0.132,-2.35,21.5,0.148,,,,,,
18.88,,,,,,,1.25,176.6,0.040,1.08,163.2,0.040,-1.04,68.9,0.160,-1.73,57.2,0.163,-1.84,22.4,0.132,-2.35,21.5,0.148,,,,,,
18.96,,,,,,,1.24,176.6,0.040,1.08,163.3,0.040,-1.03,69.1,0.160,-1.71,57.3,0.163,-1.84,22.5,0.132,-2.35,21.5,0.149,,,,,,
19.04,,,,,,,1.23,176.6,0.040,1.08,163.3,0.040,-1.02,69.2,0.160,-1.69,57.4,0.163,-1.84,22.5,0.133,-2.36,21.6,0.149,,,,,,
19.13,,,,,,,1.22,176.6,0.040,1.09,163.3,0.040,-1.01,69.3,0.160,-1.68,57.4,0.163,-1.83,22.5,0.133,-2.36,21.6,0.149,,,,,,
19.21,,,,,,,1.21,176.7,0.040,1.09,163.3,0.040,-1.00,69.5,0.160,-1.66,57.5,0.164,-1.83,22.6,0.133,-2.36,21.6,0.149,,,,,,
19.29,,,,,,,1.21,176.7,0.040,1.09,163.3,0.040,-1.00,69.6,0.160,-1.64,57.6,0.164,-1.83,22.6,0.133,-2.36,21.6,0.150,,,,,,
19.38,,,,,,,1.20,176.7,0.040,1.09,163.3,0.040,-0.98,69.7,0.160,-1.62,57.7,0.164,-1.83,22.7,0.133,-2.36,21.6,0.150,,,,,,
19.46,,,,,,,1.19,176.7,0.040,1.10,163.3,0.040,-0.97,69.9,0.160,-1.61,57.8,0.165,-1.83,22.7,0.133,-2.36,21.6,0.150,,,,,,
19.54,,,,,,,1.19,176.8,0.040,1.10,163.3,0.040,-0.96,70.0,0.160,-1.59,57.9,0.165,-1.83,22.8,0.133,-2.36,21.7,0.151,,,,,,
19.63,,,,,,,1.18,176.8,0.040,1.10,163.3,0.040,-0.95,70.1,0.160,-1.57,58.0,0.165,-1.83,22.8,0.134,-2.36,21.7,0.151,,,,,,
19.71,,,,,,,1.18,176.8,0.040,1.10,163.3,0.040,-0.94,70.2,0.160,-1.56,58.0,0.166,-1.84,22.9,0.134,-2.36,21.7,0.151,,,,,,
19.79,,,,,,,1.18,176.8,0.040,1.10,163.3,0.040,-0.94,70.4,0.161,-1.54,58.1,0.166,-1.84,22.9,0.134,-2.35,21.7,0.152,,,,,,
19.88,,,,,,,1.17,176.8,0.040,1.11,163.3,0.040,-0.93,70.5,0.161,-1.53,58.2,0.166,-1.84,23.0,0.134,-2.35,21.7,0.152,,,,,,
19.96,,,,,,,1.17,176.8,0.040,1.11,163.3,0.040,-0.92,70.6,0.161,-1.52,58.2,0.167,-1.84,23.0,0.134,-2.35,21.7,0.153,,,,,,