WHO child growth standards - sets 1 and 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Length/Height-for-age,,,,,,Weight-for-age,,,,,,BMI-for-age,,,,,,Head Circumference,,,,,,Arm Circumference,,,,,,Subscapular Skinfold,,,,,,Triceps Skinfold,,,,,
,,boys,,,girls,,,boys,,,girls,,,boys,,,girls,,,boys,,,girls,,,boys,,,girls,,,boys,,,girls,,,boys,,,girls,,
Week/Month,Years,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S
0,0,1,49.8842,0.03795,1,49.1477,0.0379,0.3487,3.3464,0.14602,0.3809,3.2322,0.14171,-0.3053,13.4069,0.0956,-0.0631,13.3363,0.09272,1.00,34.4618,0.0369,1.00,33.8787,0.0350,,,,,,,,,,,,,,,,,,
1,0.01916495551,1,51.1152,0.03723,1,50.3298,0.03742,0.2776,3.4879,0.14483,0.2671,3.3388,0.146,0.5247,13.3421,0.09821,0.6319,13.2113,0.09887,1.00,35.1634,0.0347,1.00,34.5529,0.0337,,,,,,,,,,,,,,,,,,
2,0.03832991102,1,52.3461,0.03652,1,51.512,0.03694,0.2581,3.7529,0.14142,0.2304,3.5693,0.14339,0.4177,13.6377,0.09454,0.5082,13.4501,0.09741,1.00,35.8649,0.0326,1.00,35.2272,0.0325,,,,,,,,,,,,,,,,,,
3,0.05749486653,1,53.3905,0.03609,1,52.4695,0.03669,0.2442,4.0603,0.13807,0.2024,3.8352,0.1406,0.3449,14.2241,0.0923,0.4263,13.9505,0.09647,1.00,36.5216,0.0320,1.00,35.843,0.0323,,,,,,,,,,,,,,,,,,
4,0.07665982204,1,54.3881,0.0357,1,53.3809,0.03647,0.2331,4.3671,0.13497,0.1789,4.0987,0.13805,0.2881,14.7714,0.09072,0.3637,14.4208,0.09577,1.00,37.0926,0.0315,1.00,36.3761,0.0322,,,,,,,,,,,,,,,,,,
1,0.08333333333,1,54.7244,0.03557,1,53.6872,0.0364,0.2297,4.4709,0.13395,0.1714,4.1873,0.13724,0.2708,14.9441,0.09027,0.3448,14.5679,0.09556,1.00,37.2759,0.0313,1.00,36.5463,0.0321,,,,,,,,,,,,,,,,,,
5,0.09582477755,1,55.3374,0.03534,1,54.2454,0.03627,0.2237,4.659,0.13215,0.1582,4.3476,0.13583,0.2409,15.2355,0.08953,0.3124,14.8157,0.0952,1.00,37.601,0.0311,1.00,36.8472,0.0320,,,,,,,,,,,,,,,,,,
6,0.1149897331,1,56.2357,0.03501,1,55.0642,0.03609,0.2155,4.9303,0.1296,0.1395,4.5793,0.13392,0.2003,15.6107,0.08859,0.2688,15.138,0.09472,1.00,38.0609,0.0307,1.00,37.2711,0.0319,,,,,,,,,,,,,,,,,,
7,0.1341546886,1,57.0851,0.0347,1,55.8406,0.03593,0.2081,5.1817,0.12729,0.1224,4.795,0.13228,0.1645,15.9169,0.08782,0.2306,15.4063,0.09431,1.00,38.4824,0.0304,1.00,37.6584,0.0318,,,,,,,,,,,,,,,,,,
8,0.1533196441,1,57.8889,0.03442,1,56.5767,0.03578,0.2014,5.4149,0.1252,0.1065,4.9959,0.13087,0.1324,16.1698,0.08717,0.1966,15.6311,0.09394,1.00,38.8724,0.0301,1.00,38.0167,0.0317,,,,,,,,,,,,,,,,,,
2,0.1666666667,1,58.4249,0.03424,1,57.0673,0.03568,0.197,5.5675,0.12385,0.0962,5.1282,0.13,0.1118,16.3195,0.08677,0.1749,15.7679,0.09371,1.00,39.1285,0.0300,1.00,38.2521,0.0317,,,,,,,,,,,,,,,,,,
9,0.1724845996,1,58.6536,0.03416,1,57.2761,0.03564,0.1952,5.6319,0.1233,0.0918,5.1842,0.12966,0.1032,16.3787,0.08661,0.1658,15.8232,0.09361,1.00,39.2368,0.0299,1.00,38.3516,0.0317,,,,,,,,,,,,,,,,,,
10,0.1916495551,1,59.3872,0.03392,1,57.9436,0.03552,0.1894,5.8346,0.12157,0.0779,5.3618,0.12861,0.0766,16.5494,0.08612,0.1377,15.9874,0.09332,1.00,39.5797,0.0297,1.00,38.6673,0.0316,,,,,,,,,,,,,,,,,,
11,0.2108145106,1,60.0894,0.03369,1,58.5816,0.0354,0.184,6.0242,0.12001,0.0648,5.5295,0.1277,0.052,16.6882,0.08569,0.1118,16.1277,0.09304,1.00,39.9033,0.0295,1.00,38.9661,0.0315,,,,,,,,,,,,,,,,,,
12,0.2299794661,1,60.7605,0.03348,1,59.1922,0.0353,0.1789,6.2019,0.1186,0.0525,5.6883,0.12691,0.0291,16.8016,0.08531,0.0877,16.2485,0.09279,1.00,40.2096,0.0293,1.00,39.2501,0.0315,,,,,,,,,,,,,,,,,,
13,0.2491444216,1,61.4013,0.03329,1,59.7773,0.0352,0.174,6.369,0.11732,0.0407,5.8393,0.12622,0.0077,16.895,0.08496,0.0652,16.3531,0.09255,1.00,40.5008,0.0292,1.00,39.521,0.0314,,,,,,,,,,,,,,,,,,
3,0.25,1,61.4292,0.03328,1,59.8029,0.0352,0.1738,6.3762,0.11727,0.0402,5.8458,0.12619,0.0068,16.8987,0.08495,0.0643,16.3574,0.09254,1.00,40.5135,0.0292,1.00,39.5328,0.0314,0.39,13.4817,0.0748,-0.17,13.0284,0.0826,-0.30,7.6899,0.1702,-0.20,7.7846,0.1843,0.00,9.7639,0.1662,0.19,9.7516,0.1754
4,0.3333333333,1,63.886,0.03257,1,62.0899,0.03486,0.1553,7.0023,0.11316,-0.005,6.4237,0.12402,-0.0727,17.1579,0.08378,-0.0191,16.6703,0.09166,1.00,41.6317,0.0287,1.00,40.5817,0.0312,0.35,13.8097,0.0752,-0.17,13.3649,0.0830,-0.33,7.4968,0.1710,-0.26,7.5405,0.1843,-0.02,9.584,0.1726,0.13,9.5866,0.1834
5,0.4166666667,1,65.9026,0.03204,1,64.0301,0.03463,0.1395,7.5105,0.1108,-0.043,6.8985,0.12274,-0.137,17.2919,0.08296,-0.0864,16.8386,0.09096,1.00,42.5576,0.0284,1.00,41.459,0.0310,0.31,14.0585,0.0757,-0.17,13.6061,0.0833,-0.35,7.3207,0.1717,-0.30,7.3384,0.1843,-0.03,9.3885,0.1782,0.08,9.3716,0.1901
6,0.5,1,67.6236,0.03165,1,65.7311,0.03448,0.1257,7.934,0.10958,-0.0756,7.297,0.12204,-0.1913,17.3422,0.08234,-0.1429,16.9083,0.09036,1.00,43.3306,0.0282,1.00,42.1995,0.0309,0.28,14.2389,0.0760,-0.17,13.7771,0.0834,-0.37,7.1588,0.1723,-0.34,7.1637,0.1843,-0.05,9.1729,0.1830,0.03,9.1194,0.1954
7,0.5833333333,1,69.1645,0.03139,1,67.2873,0.03441,0.1134,8.297,0.10902,-0.1039,7.6422,0.12178,-0.2385,17.3288,0.08183,-0.1916,16.902,0.08984,1.00,43.9803,0.0280,1.00,42.829,0.0308,0.25,14.3678,0.0763,-0.17,13.9018,0.0835,-0.39,7.0104,0.1729,-0.37,7.0118,0.1842,-0.06,8.9535,0.1869,0.00,8.8621,0.1993
8,0.6666666667,1,70.5994,0.03124,1,68.7498,0.0344,0.1021,8.6151,0.10882,-0.1288,7.9487,0.12181,-0.2802,17.2647,0.0814,-0.2344,16.8404,0.08939,1.00,44.53,0.0280,1.00,43.3671,0.0306,0.22,14.4591,0.0765,-0.17,13.9952,0.0835,-0.41,6.8753,0.1735,-0.40,6.8807,0.1841,-0.07,8.7435,0.1897,-0.03,8.6228,0.2019
9,0.75,1,71.9687,0.03117,1,70.1435,0.03444,0.0917,8.9014,0.10881,-0.1507,8.2254,0.12199,-0.3176,17.1662,0.08102,-0.2725,16.7406,0.08898,1.00,44.9998,0.0279,1.00,43.83,0.0305,0.19,14.5245,0.0767,-0.17,14.0665,0.0834,-0.43,6.753,0.1741,-0.43,6.7679,0.1840,-0.08,8.5518,0.1917,-0.06,8.4164,0.2034
10,0.8333333333,1,73.2812,0.03118,1,71.4818,0.03452,0.082,9.1649,0.10891,-0.17,8.48,0.12223,-0.3516,17.0488,0.08068,-0.3068,16.6184,0.08861,1.00,45.4051,0.0279,1.00,44.2319,0.0304,0.17,14.5733,0.0768,-0.17,14.1217,0.0833,-0.44,6.6428,0.1746,-0.45,6.6707,0.1839,-0.09,8.3812,0.1930,-0.08,8.2468,0.2041
11,0.9166666667,1,74.5388,0.03125,1,72.771,0.03464,0.073,9.4122,0.10906,-0.1872,8.7192,0.12247,-0.3828,16.9239,0.08037,-0.3381,16.4875,0.08828,1.00,45.7573,0.0279,1.00,44.5844,0.0304,0.15,14.6119,0.0768,-0.17,14.1667,0.0831,-0.46,6.5442,0.1751,-0.47,6.5867,0.1838,-0.10,8.2323,0.1939,-0.10,8.1114,0.2044
12,1,1,75.7488,0.03137,1,74.015,0.03479,0.0644,9.6479,0.10925,-0.2024,8.9481,0.12268,-0.4115,16.7981,0.08009,-0.3667,16.3568,0.08797,1.00,46.0661,0.0279,1.00,44.8965,0.0303,0.13,14.6449,0.0769,-0.17,14.2065,0.0828,-0.48,6.4562,0.1756,-0.49,6.5138,0.1838,-0.11,8.1041,0.1945,-0.12,8.0042,0.2045
13,1.083333333,1,76.9186,0.03154,1,75.2176,0.03496,0.0563,9.8749,0.10949,-0.2158,9.1699,0.12283,-0.4382,16.6743,0.07982,-0.3932,16.2311,0.08768,1.00,46.3395,0.0279,1.00,45.1752,0.0302,0.11,14.6758,0.0769,-0.17,14.2455,0.0825,-0.49,6.378,0.1761,-0.51,6.4505,0.1839,-0.12,7.9958,0.1951,-0.13,7.9197,0.2043
14,1.166666667,1,78.0497,0.03174,1,76.3817,0.03514,0.0487,10.0953,0.10976,-0.2278,9.387,0.12294,-0.463,16.5548,0.07958,-0.4177,16.1128,0.08741,1.00,46.5844,0.0279,1.00,45.4265,0.0301,0.09,14.7063,0.0770,-0.17,14.2859,0.0823,-0.51,6.3085,0.1766,-0.53,6.3955,0.1842,-0.12,7.9064,0.1956,-0.14,7.8538,0.2041
15,1.25,1,79.1458,0.03197,1,77.5099,0.03534,0.0413,10.3108,0.11007,-0.2384,9.6008,0.12299,-0.4863,16.4409,0.07935,-0.4407,16.0028,0.08716,1.00,46.806,0.0279,1.00,45.6551,0.0301,0.07,14.738,0.0770,-0.17,14.3289,0.0820,-0.52,6.2468,0.1771,-0.54,6.3474,0.1845,-0.13,7.8345,0.1961,-0.15,7.8041,0.2038
16,1.333333333,1,80.2113,0.03222,1,78.6055,0.03555,0.0343,10.5228,0.11041,-0.2478,9.8124,0.12303,-0.5082,16.3335,0.07913,-0.4623,15.9017,0.08693,1.00,47.0088,0.0280,1.00,45.865,0.0300,0.05,14.7723,0.0771,-0.17,14.3752,0.0818,-0.54,6.1921,0.1775,-0.56,6.3055,0.1849,-0.14,7.7781,0.1967,-0.16,7.7681,0.2036
17,1.416666667,1,81.2487,0.0325,1,79.671,0.03576,0.0275,10.7319,0.11079,-0.2562,10.0226,0.12306,-0.5289,16.2329,0.07892,-0.4825,15.8096,0.08671,1.00,47.1962,0.0280,1.00,46.0598,0.0299,0.04,14.8095,0.0771,-0.17,14.4254,0.0816,-0.55,6.1435,0.1780,-0.57,6.2689,0.1854,-0.14,7.7351,0.1973,-0.17,7.7443,0.2035
18,1.5,1,82.2587,0.03279,1,80.7079,0.03598,0.0211,10.9385,0.11119,-0.2637,10.2315,0.12309,-0.5484,16.1392,0.07873,-0.5017,15.7263,0.0865,1.00,47.3711,0.0280,1.00,46.2424,0.0299,0.02,14.8496,0.0771,-0.17,14.4795,0.0814,-0.57,6.1003,0.1784,-0.59,6.2373,0.1860,-0.15,7.7036,0.1979,-0.18,7.7315,0.2035
19,1.583333333,1,83.2418,0.0331,1,81.7182,0.0362,0.0148,11.143,0.11164,-0.2703,10.4393,0.12315,-0.5669,16.0528,0.07854,-0.5199,15.6517,0.0863,1.00,47.5357,0.0280,1.00,46.4152,0.0298,0.01,14.8926,0.0772,-0.17,14.5372,0.0813,-0.58,6.0617,0.1788,-0.60,6.2101,0.1867,-0.16,7.6821,0.1986,-0.18,7.7287,0.2036
20,1.666666667,1,84.1996,0.03342,1,82.7036,0.03643,0.0087,11.3462,0.11211,-0.2762,10.6464,0.12323,-0.5846,15.9743,0.07836,-0.5372,15.5855,0.08612,1.00,47.6919,0.0281,1.00,46.5801,0.0298,-0.01,14.9388,0.0772,-0.17,14.5987,0.0812,-0.59,6.0274,0.1793,-0.61,6.1868,0.1874,-0.16,7.6697,0.1994,-0.19,7.7347,0.2039
21,1.75,1,85.1348,0.03376,1,83.6654,0.03666,0.0029,11.5486,0.11261,-0.2815,10.8534,0.12335,-0.6014,15.9039,0.07818,-0.5537,15.5278,0.08594,1.00,47.8408,0.0281,1.00,46.7384,0.0297,-0.02,14.9883,0.0773,-0.17,14.6639,0.0812,-0.61,5.9972,0.1797,-0.63,6.1669,0.1882,-0.17,7.6652,0.2002,-0.19,7.7484,0.2044
22,1.833333333,1,86.0477,0.0341,1,84.604,0.03688,-0.0028,11.7504,0.11314,-0.2862,11.0608,0.1235,-0.6174,15.8412,0.07802,-0.5695,15.4787,0.08577,1.00,47.9833,0.0281,1.00,46.8913,0.0297,-0.04,15.041,0.0773,-0.17,14.7328,0.0812,-0.62,5.9706,0.1801,-0.64,6.15,0.1891,-0.17,7.6675,0.2011,-0.19,7.7692,0.2050
23,1.916666667,1,86.941,0.03445,1,85.5202,0.03711,-0.0083,11.9514,0.11369,-0.2903,11.2688,0.12369,-0.6328,15.7852,0.07786,-0.5846,15.438,0.0856,1.00,48.1201,0.0282,1.00,47.0391,0.0296,-0.05,15.0964,0.0774,-0.17,14.8049,0.0812,-0.63,5.947,0.1805,-0.65,6.1355,0.1901,-0.18,7.675,0.2020,-0.20,7.7958,0.2057
24,2,1,87.8161,0.03479,1,86.4153,0.03734,-0.0137,12.1515,0.11426,-0.2941,11.4775,0.1239,-0.6473,15.7356,0.07771,-0.5989,15.4052,0.08545,1.00,48.2515,0.0282,1.00,47.1822,0.0296,-0.06,15.1536,0.0775,-0.17,14.8795,0.0813,-0.64,5.9258,0.1809,-0.66,6.1232,0.1910,-0.18,7.6863,0.2029,-0.20,7.8273,0.2065
24,2,1,87.1161,0.03507,1,85.7153,0.03764,-0.0137,12.1515,0.11426,-0.2941,11.4775,0.1239,-0.6187,16.0189,0.07785,-0.5684,15.6881,0.08454,1.00,48.2515,0.0282,1.00,47.1822,0.0296,-0.06,15.1536,0.0775,-0.17,14.8795,0.0813,-0.64,5.9258,0.1809,-0.66,6.1232,0.1910,-0.18,7.6863,0.2029,-0.20,7.8273,0.2065
